time,data
15,2.025975357
15.1,2.049645251
15.2,2.076361465
15.3,2.101957182
15.4,2.123151267
15.5,2.139828375
15.6,2.155057672
15.7,2.17288112
15.8,2.195463616
15.9,2.221613146
16,2.247680595
16.1,2.270162707
16.2,2.288152207
16.3,2.303922254
16.4,2.321272284
16.5,2.342837253
16.6,2.36826478
16.7,2.39451981
16.8,2.418061995
16.9,2.437334521
17,2.453815396
17.1,2.470923012
17.2,2.491584201
17.3,2.51619391
17.4,2.542387681
17.5,2.56675096
17.6,2.587230474
17.7,2.604545349
17.8,2.621629258
17.9,2.641532614
18,2.665283884
18.1,2.691208527
18.2,2.716154088
18.3,2.737726404
18.4,2.755951217
18.5,2.773208796
18.6,2.792520973
18.7,2.815422281
18.8,2.84091411
18.9,2.866213175
19,2.888735199
19.1,2.907900587
19.2,2.925501074
19.3,2.944398605
19.4,2.966500119
19.5,2.991440564
19.6,3.016882632
19.7,3.040191807
19.8,3.060286911
19.9,3.078366823
20,3.097026335
20.1,3.118411691
20.2,3.142726185
20.3,3.168125491
20.4,3.192048975
20.5,3.213026691
20.6,3.231687378
20.7,3.250277137
20.8,3.271054864
20.9,3.294709981
21,3.31991009
21.1,3.344273296
21.2,3.366056545
21.3,3.385363697
21.4,3.404036696
21.5,3.424331689
21.6,3.447330887
21.7,3.472207458
21.8,3.49684163
21.9,3.519330222
22,3.5393151
22.1,3.558203766
22.2,3.578149198
22.3,3.600527516
22.4,3.624989333
22.5,3.649737948
22.6,3.672815654
22.7,3.693477749
22.8,3.712690315
22.9,3.732420265
23,3.754238344
23.1,3.778226785
23.2,3.802950634
23.3,3.826492109
23.4,3.84780293
23.5,3.867421395
23.6,3.887064432
23.7,3.908402209
23.8,3.93188937
23.9,3.956470256
24,3.980347523
24.1,4.002255186
24.2,4.02233475
24.3,4.042008628
24.4,4.062959018
24.5,4.085944749
24.6,4.110287804
24.7,4.134376059
24.8,4.156810371
24.9,4.177380177
25,4.19718773
25.1,4.217850572
25.2,4.240358683
25.3,4.264393385
25.4,4.288575942
25.5,4.311453675
25.6,4.332518649
25.7,4.352544914
25.8,4.373021418
25.9,4.395095339
26,4.418775331
26.1,4.442947601
26.2,4.466177701
26.3,4.487721266
26.4,4.508031788
26.5,4.528419667
26.6,4.550117806
26.7,4.573419692
26.8,4.59749213
26.9,4.620980627
27,4.642968046
27.1,4.663608311
27.2,4.683997707
27.3,4.705388766
27.4,4.728310052
27.5,4.752210079
27.6,4.775864515
27.7,4.798246646
27.8,4.819242486
27.9,4.839712787
28,4.860871239
28.1,4.883427626
28.2,4.907100558
28.3,4.930833803
28.4,4.953551019
28.5,4.974909871
28.6,4.995527432
28.7,5.016529334
28.8,5.038751565
28.9,5.062160647
29,5.085893993
29.1,5.108880093
29.2,5.130592929
29.3,5.151409682
29.4,5.172328979
29.5,5.194259432
29.6,5.217385073
29.7,5.241050573
29.8,5.264236491
29.9,5.286280248
30,5.307333151
30.1,5.328238554
30.2,5.349927766
30.3,5.372766125
30.4,5.396308164
30.5,5.419625341
30.6,5.44196568
30.7,5.463276913
30.8,5.48422943
30.9,5.505732717
31,5.528293775
31.1,5.551669892
31.2,5.575053203
31.3,5.597647423
31.4,5.619225232
31.5,5.640276367
31.6,5.661650675
31.7,5.683955944
31.8,5.707136975
31.9,5.730527137
32,5.753327099
32.1,5.775167164
32.2,5.79635778
32.3,5.817658871
32.4,5.8397389
32.5,5.862708518
32.6,5.88605393
32.7,5.909008853
32.8,5.931096043
32.9,5.952455859
33,5.973735928
33.1,5.995627722
33.2,6.018381463
33.3,6.041639477
33.4,6.064698504
33.5,6.087008901
33.6,6.108556552
33.7,6.129862308
33.8,6.151606806
33.9,6.174150704
34,6.197288339
34.1,6.220402772
34.2,6.242905831
34.3,6.264649426
34.4,6.286020676
34.5,6.307660378
34.6,6.330009308
34.7,6.353003441
34.8,6.376128612
34.9,6.39878934
35,6.420727417
35.1,6.442196145
35.2,6.463772981
35.3,6.485948825
35.4,6.508785928
35.5,6.531882638
35.6,6.554663707
35.7,6.576786503
35.8,6.598376415
35.9,6.619929918
36,6.64195966
36.1,6.66463514
36.2,6.687670686
36.3,6.710534368
36.4,6.732825298
36.5,6.754551807
36.6,6.776117631
36.7,6.798031471
36.8,6.820548705
36.9,6.843497475
37,6.86640736
37.1,6.888844613
37.2,6.910715195
37.3,6.932324
37.4,6.954153571
37.5,6.976522706
37.6,6.999366399
37.7,7.022288829
37.8,7.044846995
37.9,7.066861855
38,7.088538564
38.1,7.110315314
