time,distur_data,data
490,0,80.01241646
490.1,0,80.01241188
490.2,0,80.01240728
490.3,0,80.01240263
490.4,0,80.01239794
490.5,0,80.01239323
490.6,0,80.01238854
490.7,0,80.01238391
490.8,0,80.01237932
490.9,0,80.01237473
491,0,80.01237009
491.1,0,80.01236541
491.2,0,80.0123607
491.3,0,80.01235601
491.4,0,80.01235137
491.5,0,80.01234677
491.6,0,80.01234217
491.7,0,80.01233755
491.8,0,80.01233288
491.9,0,80.01232818
492,0,80.01232348
492.1,0,80.01231883
492.2,0,80.01231422
492.3,0,80.01230962
492.4,0,80.012305
492.5,0,80.01230034
492.6,0,80.01229565
492.7,0,80.01229095
492.8,0,80.01228629
492.9,0,80.01228167
493,0,80.01227707
493.1,0,80.01227245
493.2,0,80.0122678
493.3,0,80.01226312
493.4,0,80.01225842
493.5,0,80.01225375
493.6,0,80.01224912
493.7,0,80.01224451
493.8,0,80.0122399
493.9,0,80.01223526
494,0,80.01223059
494.1,0,80.01222589
494.2,0,80.01222122
494.3,0,80.01221657
494.4,0,80.01221196
494.5,0,80.01220735
494.6,0,80.01220272
494.7,0,80.01219805
494.8,0,80.01219336
494.9,0,80.01218868
495,0,80.01218403
495.1,0,80.01217941
495.2,0,80.0121748
495.3,0,80.01217018
495.4,0,80.01216552
495.5,0,80.01216083
495.6,0,80.01215615
495.7,0,80.01215149
495.8,0,80.01214686
495.9,0,80.01214225
496,0,80.01213763
496.1,0,80.01213298
496.2,0,80.0121283
496.3,0,80.01212362
496.4,0,80.01211895
496.5,0,80.01211432
496.6,0,80.0121097
496.7,0,80.01210508
496.8,0,80.01210044
496.9,0,80.01209577
497,0,80.01209109
497.1,0,80.01208642
497.2,0,80.01208177
497.3,0,80.01207715
497.4,0,80.01207253
497.5,0,80.0120679
497.6,0,80.01206323
497.7,0,80.01205855
497.8,0,80.01205388
497.9,0,80.01204923
498,0,80.01204461
498.1,0,80.01203999
498.2,0,80.01203535
498.3,0,80.0120307
498.4,0,80.01202602
498.5,0,80.01202135
498.6,0,80.01201669
498.7,0,80.01201206
498.8,0,80.01200744
498.9,0,80.01200281
499,0,80.01199816
499.1,0,80.01199349
499.2,0,80.01198881
499.3,0,80.01198415
499.4,0,80.01197951
499.5,0,80.01197489
499.6,0,80.01197026
499.7,0,80.01196562
499.8,0,80.01196095
499.9,0,80.01195628
500,0,80.01195162
500.1,-4529.553838,80.01194697
500.2,1788.647169,80.01217503
500.3,1792.964058,80.01211945
500.4,4346.928959,80.01186264
500.5,-1164.979225,80.01145437
500.6,194.1637207,80.01147607
500.7,3309.653461,80.01179492
500.8,-4654.278895,80.01202509
500.9,-4465.38365,80.01242756
501,297.0019334,80.01265412
501.1,1711.493841,80.01230608
501.2,-4923.018138,80.0115947
501.3,1867.727124,80.01137254
501.4,4304.364947,80.01139752
501.5,3461.668905,80.01156457
501.6,269.2877759,80.01180867
501.7,-4080.351092,80.01210963
501.8,1539.189623,80.01245282
501.9,-840.0064315,80.01227869
502,2011.905944,80.01187232
502.1,4103.208305,80.01135802
502.2,2621.980397,80.01100318
502.3,-2375.470063,80.01113364
502.4,-4525.354863,80.01188552
502.5,2360.818846,80.01279138
502.6,-1717.657739,80.01284262
502.7,1326.385679,80.01226593
502.8,2564.10486,80.01129072
502.9,4910.373855,80.01055701
503,-1346.613293,80.01045287
503.1,-2529.611144,80.01136278
503.2,4825.502862,80.01264104
503.3,2226.604008,80.01299201
503.4,2533.55835,80.01235486
503.5,1515.185748,80.01114911
503.6,-4273.141171,80.0102687
503.7,1316.347181,80.01059823
503.8,3847.071286,80.0115477
503.9,-2272.900332,80.01233131
504,-635.8859435,80.01271686
504.1,2664.947779,80.01230555
504.2,-222.68235,80.01122798
504.3,-2622.255663,80.01040484
504.4,-2250.931597,80.01049765
504.5,-1407.350207,80.01137687
504.6,-3334.927996,80.0123598
504.7,-134.8261699,80.01285085
504.8,3976.562866,80.01233274
504.9,4092.081016,80.01099004
505,-4394.356725,80.00978864
505.1,4046.530923,80.00999041
505.2,45.22894744,80.01093126
505.3,162.9196364,80.0121835
505.4,-1809.670588,80.01282086
505.5,4866.42112,80.01249889
505.6,-60.23315017,80.01109612
505.7,-2338.554928,80.00989603
505.8,-4092.671051,80.00980732
505.9,4477.6425,80.01093466
506,-4262.509248,80.01200558
506.1,7.070947907,80.01276138
506.2,-1158.57852,80.01239694
506.3,-2229.181997,80.01126757
506.4,4138.17442,80.01021955
506.5,297.4739369,80.0096462
506.6,-355.5417505,80.01016774
506.7,4409.799538,80.01139827
506.8,-4499.160163,80.01220495
506.9,2615.142622,80.01250629
507,2702.045468,80.0116723
507.1,3278.173003,80.01033882
507.2,-3746.346244,80.00940798
507.3,-4841.322987,80.00987339
507.4,1884.553012,80.01138334
507.5,3682.471318,80.01250092
507.6,1295.434179,80.0123919
507.7,2362.245143,80.01127845
507.8,2254.119984,80.00987759
507.9,4994.57879,80.00917381
508,3885.722137,80.00948903
508.1,-2668.051216,80.01063685
508.2,-1936.781689,80.01210446
508.3,-1489.84752,80.01275998
508.4,132.7370224,80.01212422
508.5,911.1358253,80.01057085
508.6,3459.815601,80.00915953
508.7,-879.1922945,80.00873303
508.8,3415.106395,80.00979018
508.9,-2306.827278,80.01129601
509,-846.0538442,80.01248718
509.1,373.0397557,80.01240671
509.2,-320.826315,80.01106494
509.3,-2127.876285,80.00945189
509.4,-3216.722961,80.00877407
509.5,-3462.800229,80.00951786
509.6,716.5481084,80.01112869
509.7,3024.05727,80.01223649
509.8,-4669.462456,80.01197307
509.9,344.4984114,80.01094695
510,344.4984114,80.00957824
510,-15.19880957,80.00957824
510,-15.19880957,80.00957824
510.1,4553.6076,80.00887359
510.2,2482.926509,80.00906838
510.3,545.8384825,80.01013142
510.4,3907.374814,80.01137414
510.5,1248.492913,80.01172419
510.6,3420.396125,80.01109441
510.7,-3402.324774,80.00979925
510.8,-2872.484852,80.00910261
510.9,2147.099677,80.00939441
511,-3695.727381,80.01018261
511.1,-4090.096633,80.01122119
511.2,-2254.118522,80.01174953
511.3,-4970.00399,80.01130212
511.4,-857.067367,80.01035528
511.5,-4731.237092,80.00935082
511.6,2098.195929,80.00921554
511.7,4378.972994,80.00965383
511.8,-2600.891952,80.0102723
511.9,-3191.040912,80.01100257
512,-1824.604635,80.01131593
512.1,3869.906621,80.01092799
512.2,1520.58686,80.00984211
512.3,-3496.649404,80.00898687
512.4,1813.462138,80.00919698
512.5,-1141.852963,80.01000093
512.6,-1122.746629,80.01100767
512.7,-2.589675133,80.01148843
512.8,-3524.669967,80.01105985
512.9,871.8662317,80.01022801
513,3455.756595,80.00933881
513.1,901.0861003,80.00891294
513.2,4554.088264,80.00938599
513.3,561.4613861,80.01020404
513.4,-3518.484378,80.01100993
513.5,4833.050971,80.01141866
513.6,-912.3330637,80.01069498
513.7,-3581.802286,80.00970815
513.8,648.9868069,80.00925001
513.9,-2478.735935,80.00939467
514,-114.8545067,80.01021285
514.1,-359.6947134,80.01097639
514.2,4610.951408,80.01117774
514.3,-3739.69194,80.01042898
514.4,-3002.428006,80.00972778
514.5,-1807.503261,80.00947282
514.6,1292.691564,80.0097781
514.7,-3732.878412,80.01026927
514.8,1512.537415,80.01087698
514.9,1216.340259,80.01087659
515,3030.729959,80.01033042
515.1,-2521.582417,80.00953768
515.2,-235.6819693,80.00935336
515.3,-1106.858303,80.00974356
515.4,-2967.496653,80.01048377
515.5,-4716.248186,80.01114072
515.6,4016.73499,80.0113384
515.7,-735.0258696,80.01049576
515.8,-3579.789679,80.00952556
515.9,4474.867801,80.00923072
516,-896.8696445,80.0093806
516.1,-3688.114685,80.01019089
516.2,3856.483711,80.01119522
516.3,-4078.263701,80.01128868
516.4,-3378.01448,80.01088153
516.5,-4289.364349,80.01019015
516.6,-1346.609712,80.00976494
516.7,-2469.426364,80.00975436
516.8,-3648.906317,80.01024702
516.9,2831.531688,80.01095659
517,-446.9271588,80.01105926
517.1,-1504.758553,80.01071815
517.2,-476.9983075,80.01022922
517.3,3089.44587,80.00989389
517.4,4316.744003,80.0097827
517.5,1516.460551,80.00994067
517.6,-2847.516159,80.01041191
517.7,1795.923676,80.01107426
517.8,4089.218853,80.01120417
517.9,-2498.744059,80.01063992
518,3608.598359,80.01014692
518.1,-287.3767145,80.00972057
518.2,59.55875155,80.0098993
518.3,1003.937384,80.01050731
518.4,3175.614829,80.01106722
518.5,2558.435322,80.01108435
518.6,-377.5502068,80.01060181
518.7,4513.674504,80.01011148
518.8,1327.387,80.00968512
518.9,-606.6967946,80.00980808
519,3246.973869,80.01045608
519.1,1889.809131,80.0109489
519.2,2022.066487,80.01102921
519.3,4871.454998,80.01062323
519.4,4544.149027,80.00986742
519.5,3512.696684,80.00931676
519.6,-2106.837969,80.00938473
519.7,374.2574134,80.01027249
519.8,144.3466615,80.01116095
519.9,-3965.66072,80.0114362
520,-3965.66072,80.01110828
520,-859.7151683,80.01110828
520,-859.7151683,80.01110828
520.1,767.1663984,80.01021835
520.2,3765.65719,80.00932204
520.3,-599.6134065,80.00888833
520.4,2297.476804,80.00943691
520.5,3692.637379,80.01037154
520.6,2156.423348,80.01095797
520.7,3007.20327,80.01085854
520.8,2065.354743,80.01008029
520.9,2417.158977,80.00921044
521,-4809.075962,80.00881015
521.1,3860.311172,80.00949666
521.2,249.8740541,80.01025521
521.3,-366.7726579,80.010767
521.4,-4348.061271,80.01066226
521.5,2134.223206,80.01020252
521.6,-110.5684066,80.00933856
521.7,1676.790652,80.00881687
521.8,1820.491197,80.0088687
521.9,-3004.452529,80.00942765
522,4166.338956,80.01031737
522.1,3658.82669,80.01048929
522.2,3900.186796,80.0098837
522.3,439.4830696,80.00889759
522.4,-3608.05001,80.0083789
522.5,-496.5256366,80.00883923
522.6,4893.624997,80.00972699
522.7,-2844.680179,80.01013023
522.8,-539.7657331,80.01017866
522.9,-1842.675873,80.00965348
523,146.5945761,80.00899062
523.1,3815.041189,80.00852423
523.2,-602.7443733,80.00837876
